"id","code","name","description","type","min_empty_weight","max_empty_weight"
40,"40","M2","Motocarro de 2 ejes","Rígido","300","25000"
45,"45","CA","Camioneta de 2 ejes","Rígido","800","3300"
47,"47","V4","Volqueta de 4 ejes","Rígido","500","25000"
48,"48","V2","Volqueta de 2 ejes","Rígido","300","25000"
49,"49","V3","Volqueta de 3 ejes","Rígido","300","25000"
50,"50","2","Camión Rígido de 2 ejes","Rígido","1000","11000"
51,"51","3","Camión Rígido de 3 ejes","Rígido","1500","15000"
52,"52","4","Camión Rígido de 4 ejes","Rígido","2000","18000"
53,"53","2S","Tractocamión de 2 ejes","Cabezote","2000","15000"
54,"54","3S","Tractocamión de 3 ejes","Cabezote","2500","16000"
55,"55","4S","Tractocamión de más de 3 ejes","Cabezote","3000","20000"
56,"56","5","Camión Rígido de más de 4 ejes","Rígido","300","25000"
61,"61","S1","Semiremolque de 1 eje","Semiremolque","300","25000"
62,"62","S2","Semiremolque de 2 ejes","Semiremolque","300","25000"
63,"63","S3","Semiremolque de 3 ejes","Semiremolque","300","25000"
64,"64","S4","Semiremolque de más de 3 ejes","Semiremolque","300","25000"
71,"71","R2","Remolque de 2 ejes","Remolque","300","25000"
72,"72","R3","Remolque de 3 ejes","Remolque","300","25000"
73,"73","R4","Remolque de 4 ejes","Remolque","300","25000"
74,"74","R5","Remolque de más de 4 ejes","Remolque","300","25000"
81,"81","B1","Remolque Balanceado de 1 eje","Remolque Balanceado","300","25000"
82,"82","B2","Remolque Balanceado de 2 ejes","Remolque Balanceado","300","25000"
83,"83","B3","Remolque Balanceado de 3 ejes","Remolque Balanceado","300","25000"
84,"84","B4","Remolque Balanceado de 4 ejes","Remolque Balanceado","300","25000"
85,"85","B5","Remolque Balanceado de más de 4 ejes","Remolque Balanceado","300","25000"